company_name,n_deals,n_unique_athletes,total_nil_value,avg_nil_value,top_school,top_position
Unknown,4173,3410,63735246.0,1991726.4375,Oklahoma,WR
EA Sports,151,151,27574967.0,2297913.9166666665,Alabama,QB
Barstool Sports,119,119,3035177.0,3035177.0,Michigan State,OT
VerifiedInk,113,111,0.0,0.0,South Alabama,PF
Cameo,108,108,0.0,0.0,Notre Dame,QB
ONIT Athelte,95,88,3164437.0,1582218.5,Northwestern,WR
adidas,87,84,11845855.0,2369171.0,Washington,WR
Leaf Trading Cards,81,76,8785778.0,2196444.5,LSU,QB
Top Tier Authentics,80,80,0.0,0.0,Georgia,WR
Education Foundation,61,56,1600000.0,1600000.0,Florida,WR
The Players' Lounge,58,56,6279592.0,3139796.0,Tennessee,WR
Raising Cane's,56,54,13577277.0,2715455.4,Texas,QB
Dunkin',56,51,0.0,0.0,Pittsburgh,PG
Beats by Dre,55,44,20549837.0,2283315.222222222,Oregon,QB
Powerade,52,49,11338831.0,1889805.1666666667,LSU,QB
HEYDUDE Shoes,52,52,1882464.0,1882464.0,South Carolina,PG
Hooters,48,47,0.0,0.0,Missouri,IOL
Alachua Habitat for Humanity,48,44,0.0,0.0,Florida,S
NextGenCamps,48,46,2056072.0,2056072.0,Penn State,RB
Gordon McKernan Injury Attorneys,46,44,3214461.0,1607230.5,LSU,RB
Nike,45,44,11629220.0,2325844.0,USC,CG
Charlie Hustle,43,41,0.0,0.0,Kansas State,SF
The M Den,42,24,0.0,0.0,Michigan,CB
Food4Kids Florida,39,36,1600000.0,1600000.0,Florida,WR
Panini America,38,37,16731754.0,3346350.8,Texas A&M,QB
Chicago White Sox,35,27,1564090.0,1564090.0,Northwestern,SG
Topps,35,34,0.0,0.0,Texas A&M,SG
Stanford Children's Hospital,34,32,0.0,0.0,Stanford,WR
The Defensive Line,34,34,0.0,0.0,Stanford,IOL
The Athletic Collection,33,33,0.0,0.0,UCLA,QB
Pepsi,32,31,0.0,0.0,Wisconsin,WR
