player_key,player_name,division,primary_position,primary_state,n_deals,total_nil_value,avg_nil_value,stars,consensus_rating,consensus_stars,national_rank,schools,primary_brand,impact_score
162407.0,Flau'jae Johnson,NCAA-WBK,CG,GA,33,49525476.0,1500772.0,,,,,['LSU'],JBL Audio,528.25476
60214.0,Jeremiah Smith,NCAA-FB,WR,FL,12,50396760.0,4199730.0,5.0,99.61266129032258,5.0,1.0,['Ohio State'],American Eagle Outfitters,519.9521064516128
7353.0,Arch Manning,NCAA-FB,QB,LA,8,42537256.0,5317157.0,5.0,99.5258064516129,5.0,3.0,['Texas'],Panini America,437.3535922580645
18711.0,Carson Beck,NCAA-FB,QB,FL,12,37677552.0,3139796.0,,91.27644927536232,4.0,,['Miami'],The Players' Lounge,392.42657797101447
145821.0,LaNorris Sellers,NCAA-FB,QB,SC,12,31079016.0,2589918.0,4.0,91.12853260869566,4.0,95.0,['South Carolina'],T-Mobile,326.43530130434783
16957.0,Caleb Downs,NCAA-FB,S,GA,12,28572912.0,2381076.0,5.0,99.0616935483871,5.0,8.0,['Ohio State'],Beats by Dre,301.6915877419355
16612.0,Cade Klubnik,NCAA-FB,QB,TX,12,18465624.0,1538802.0,4.0,97.56079943899016,5.0,61.0,['Clemson'],Unknown,200.5586719775596
15949.0,Bryce Underwood,NCAA-FB,QB,MI,6,18211062.0,3035177.0,5.0,99.8691935483871,5.0,1.0,['Michigan'],Hollister,192.1053877419355
45029.0,Garrett Nussmeier,NCAA-FB,QB,TX,10,17136890.0,1713689.0,4.0,94.53750000000002,4.0,132.0,['LSU'],Powerade,185.1504
110684.0,Taylen Green,NCAA-FB,QB,TX,8,16448576.0,2056072.0,4.0,85.26136363636364,3.0,,['Arkansas'],Walk-On’s Sports Bistreaux,175.89621454545454
18663.0,Carnell Tate,NCAA-FB,WR,IL,10,15640900.0,1564090.0,4.0,96.4861763674614,4.0,47.0,['Ohio State'],Unknown,170.26844705469844
117106.0,Ty Simpson,NCAA-FB,QB,TN,6,13733052.0,2288842.0,5.0,97.24461781206172,5.0,30.0,['Alabama'],Gatorade,147.2203047124825
11729.0,Braden Smith,NCAA-BK,PG,IN,7,13177248.0,1882464.0,3.0,85.425,3.0,,['Purdue'],The NIL Store,142.18948
63401.0,John Mateer,NCAA-FB,QB,TX,8,13005080.0,1625635.0,,81.43409090909091,3.0,,['Oklahoma'],Unknown,141.30816363636364
152310.0,Ryan Williams,NCAA-FB,WR,AL,8,12603240.0,1575405.0,5.0,98.97153225806451,5.0,8.0,['Alabama'],New Era,137.99126129032257
156943.0,AJ Dybantsa,NCAA-BK,SF,MA,3,12906426.0,4302142.0,5.0,99.7334677419355,5.0,1.0,['BYU'],Fanatics,136.0535987096774
104361.0,Sam Leavitt,NCAA-FB,QB,OR,5,8850565.0,1770113.0,4.0,89.49021739130434,4.0,76.0,,adidas,97.08525869565217
147282.0,Denzel Aberdeen,NCAA-BK,CG,FL,5,8000000.0,1600000.0,3.0,90.00156595431098,3.0,,['Kentucky'],North Central Florida YMCA,88.60006263817245
65999.0,Jordan Seaton,NCAA-FB,OT,DC,4,6837384.0,1709346.0,5.0,98.31370967741935,5.0,22.0,['Colorado'],Unknown,76.30638838709677
147035.0,Dylan Raiola,NCAA-FB,QB,GA,4,6803096.0,1700774.0,4.0,98.22541199158486,5.0,71.0,['Nebraska'],adidas,75.95997647966338
29804.0,Dante Moore,NCAA-FB,QB,MI,3,6848856.0,2282952.0,5.0,99.22137096774196,5.0,20.0,['Oregon'],Nike,75.45741483870968
96721.0,PJ Haggerty,NCAA-BK,SG,TX,3,6792912.0,2264304.0,4.0,89.2578804347826,3.0,66.0,['Kansas State'],Unknown,74.49943521739131
150027.0,Jeremiyah Love,NCAA-FB,RB,MO,4,6584372.0,1646093.0,4.0,94.8796195652174,4.0,79.0,['Notre Dame'],Samsung,73.6389047826087
82333.0,Marcel Reed,NCAA-FB,QB,TN,3,6376035.0,2125345.0,3.0,90.06820652173914,4.0,,['Texas A&M'],Sonic,70.36307826086957
36926.0,Diego Pavia,NCAA-FB,QB,NM,2,4911482.0,2455741.0,3.0,81.41983695652173,3.0,80.0,['Vanderbilt'],The NIL Store,54.37161347826087
