unitid,nil_deal_count,nil_total_dollars,nil_avg_deal,nil_median_deal,nil_verified_count,nil_distinct_players,nil_distinct_companies,nil_stars_sum,nil_stars_weighted_total,nil_dollars_per_star
100654,8,0.0,0.0,0.0,0,1,8,0.0,0.0,0.0
100724,136,1555055.0,11434.22794117647,0.0,0,64,62,125.0,4665165.0,37321.32
100751,120,26336292.0,219469.1,0.0,0,39,91,249.0,131681460.0,528841.2048192772
100858,96,3510064.0,36563.166666666664,0.0,0,35,68,118.0,17550320.0,148731.5254237288
100937,1,0.0,0.0,0.0,0,1,1,3.0,0.0,0.0
101143,35,0.0,0.0,0.0,0,12,26,55.0,0.0,0.0
101480,7,0.0,0.0,0.0,0,6,2,15.0,0.0,0.0
101879,1,0.0,0.0,0.0,0,1,0,3.0,0.0,0.0
102049,2,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0
102094,12,0.0,0.0,0.0,0,11,2,15.0,0.0,0.0
102368,62,0.0,0.0,0.0,0,15,19,28.0,0.0,0.0
104151,70,0.0,0.0,0.0,0,45,36,85.0,0.0,0.0
104179,71,0.0,0.0,0.0,0,34,42,80.0,0.0,0.0
104717,11,0.0,0.0,0.0,0,7,5,4.0,0.0,0.0
105330,5,0.0,0.0,0.0,0,5,3,0.0,0.0,0.0
106245,99,3122956.0,31545.010101010103,0.0,0,35,48,112.0,15614780.0,139417.67857142858
106397,167,16448576.0,98494.46706586826,0.0,0,91,82,242.0,65794304.0,271877.28925619833
106412,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
106458,8,0.0,0.0,0.0,0,6,6,12.0,0.0,0.0
107992,94,0.0,0.0,0.0,0,60,32,76.0,0.0,0.0
110316,42,0.0,0.0,0.0,0,21,20,56.0,0.0,0.0
110361,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
110422,1,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0
110565,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
110705,3,0.0,0.0,0.0,0,2,1,6.0,0.0,0.0
111708,1,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0
117946,9,0.0,0.0,0.0,0,5,6,14.0,0.0,0.0
121150,9,0.0,0.0,0.0,0,8,3,0.0,0.0,0.0
122409,39,0.0,0.0,0.0,0,25,13,35.0,0.0,0.0
122612,9,0.0,0.0,0.0,0,7,3,0.0,0.0,0.0
122755,5,0.0,0.0,0.0,0,5,2,3.0,0.0,0.0
122931,10,0.0,0.0,0.0,0,5,7,0.0,0.0,0.0
123554,1,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0
126678,105,6837384.0,65117.94285714286,0.0,0,69,43,108.0,34186920.0,316545.55555555556
128902,110,0.0,0.0,0.0,0,36,64,70.0,0.0,0.0
129242,1,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
129941,2,0.0,0.0,0.0,0,1,1,8.0,0.0,0.0
