team_committed,n_deals,n_unique_athletes,total_nil_value,avg_nil_value,median_nil_value,avg_consensus_rating,avg_stars
Florida,402,115,0.0,0.0,0.0,90.62600358891947,3.8210526315789473
Texas,265,90,42537256.0,5317157.0,5317157.0,94.4104552676575,4.043010752688172
Oklahoma,237,98,13005080.0,1625635.0,1625635.0,89.19230107748717,3.7333333333333334
LSU,230,71,66662366.0,1550287.5813953488,1500772.0,91.24708843417977,4.0285714285714285
UCLA,225,59,0.0,0.0,0.0,88.96502430739649,3.825
Ohio State,201,82,97104235.0,2774406.714285714,2381076.0,94.17366689118076,4.15625
Penn State,183,74,0.0,0.0,0.0,92.28021220334088,4.173076923076923
Stanford,179,90,0.0,0.0,0.0,86.60084183955703,3.234375
Tennessee,176,75,0.0,0.0,0.0,91.1772756382897,3.8275862068965516
Kansas State,170,64,6792912.0,2264304.0,2264304.0,87.329979283748,3.7045454545454546
Nebraska,168,65,6803096.0,1700774.0,1700774.0,89.50157531396674,3.5517241379310347
Arkansas,167,91,16448576.0,2056072.0,2056072.0,89.42688105942837,3.78125
Florida State,161,76,0.0,0.0,0.0,89.8995898218909,3.6153846153846154
South Carolina,158,67,33305262.0,2561943.230769231,2589918.0,90.69329072106541,4.297297297297297
Texas A&M,153,83,6376035.0,2125345.0,2125345.0,90.34438563784047,3.7714285714285714
NC State,136,64,1555055.0,1555055.0,1555055.0,88.15038877598596,3.676470588235294
SMU,136,49,0.0,0.0,0.0,88.86835564106761,3.5789473684210527
Miami,134,67,39613597.0,3047199.769230769,3139796.0,90.93950558692124,3.761904761904762
Utah,133,45,0.0,0.0,0.0,88.64908888617717,3.6296296296296298
Texas Tech,133,77,0.0,0.0,0.0,85.52652483101453,3.4571428571428573
Houston,132,66,0.0,0.0,0.0,89.1360572440937,3.4444444444444446
Indiana,132,56,2613760.0,2613760.0,2613760.0,87.34392086203452,3.875
Iowa State,132,51,0.0,0.0,0.0,85.65094329859967,3.0930232558139537
Memphis,124,61,0.0,0.0,0.0,89.02754816342593,3.731707317073171
Alabama,120,39,26336292.0,1881163.7142857143,1575405.0,95.17101694574775,4.446428571428571
Connecticut,110,36,0.0,0.0,0.0,91.25825410206535,3.888888888888889
Oregon,109,45,6848856.0,2282952.0,2282952.0,93.39767535258835,4.366666666666666
Ole Miss,107,69,1606913.0,1606913.0,1606913.0,87.28526147005138,3.6666666666666665
Washington,105,55,0.0,0.0,0.0,87.71855469574342,3.1724137931034484
Georgia,104,64,0.0,0.0,0.0,93.64063265766666,4.076923076923077
Michigan,103,52,22759448.0,2844931.0,3035177.0,91.2866498527848,3.8076923076923075
Louisville,102,29,0.0,0.0,0.0,87.51737971989368,3.857142857142857
USC,102,49,2080157.0,2080157.0,2080157.0,89.32506916690802,3.7142857142857144
Kentucky,100,44,12031180.0,1718740.0,1600000.0,89.76318713606487,3.611111111111111
Kansas,99,35,3122956.0,1561478.0,1561478.0,88.40790076314198,4.0
North Carolina,96,45,3897386.0,1948693.0,1948693.0,90.79079928288012,3.590909090909091
Auburn,96,35,3510064.0,1755032.0,1755032.0,89.20001230490578,3.933333333333333
Minnesota,96,51,0.0,0.0,0.0,87.19648599842822,3.689655172413793
Virginia Tech,94,60,0.0,0.0,0.0,86.30075652759622,3.619047619047619
Clemson,87,35,18465624.0,1538802.0,1538802.0,93.10148066928505,3.8461538461538463
Iowa,86,36,0.0,0.0,0.0,88.2493823786309,3.409090909090909
West Virginia,86,55,0.0,0.0,0.0,85.20549782828789,3.1176470588235294
Missouri,79,47,0.0,0.0,0.0,88.74817269796603,3.7027027027027026
Oregon State,78,38,0.0,0.0,0.0,86.54958646646743,3.28
Oklahoma State,78,42,0.0,0.0,0.0,85.13949238228247,3.3846153846153846
TCU,78,40,2043292.0,2043292.0,2043292.0,87.66629453977744,3.6666666666666665
Pittsburgh,78,45,0.0,0.0,0.0,87.25830019770049,3.423076923076923
BYU,74,37,12906426.0,4302142.0,4302142.0,87.42945713952497,3.5142857142857142
Illinois,73,36,0.0,0.0,0.0,87.50286009520526,3.9
Arizona,71,34,0.0,0.0,0.0,90.32579216163826,3.3333333333333335
Colorado,71,45,6837384.0,1709346.0,1709346.0,90.89074307306872,3.857142857142857
Arizona State,70,45,0.0,0.0,0.0,88.0876264133884,3.4
Maryland,69,46,0.0,0.0,0.0,89.38820821619949,3.5555555555555554
Syracuse,68,39,0.0,0.0,0.0,91.95564717066698,3.891891891891892
UCF,67,39,0.0,0.0,0.0,89.78043173150165,3.769230769230769
Mississippi State,62,40,0.0,0.0,0.0,88.55243069993756,3.7333333333333334
Troy,62,15,0.0,0.0,0.0,83.19683977455716,3.111111111111111
Vanderbilt,60,30,8274512.0,2068628.0,2068628.0,89.02927524346083,3.9285714285714284
Michigan State,58,37,0.0,0.0,0.0,87.04977363489071,3.6666666666666665
Duke,54,22,3857456.0,1928728.0,1928728.0,87.91222786089435,4.0
Purdue,53,35,13177248.0,1882464.0,1882464.0,89.27152472686828,3.56
USF,52,28,0.0,0.0,0.0,86.78831278304315,3.35
Wisconsin,51,30,0.0,0.0,0.0,86.0245492495847,3.375
Notre Dame,51,35,6584372.0,1646093.0,1646093.0,91.0865117673334,3.9375
Virginia,49,34,0.0,0.0,0.0,86.92942889273968,3.5714285714285716
UTSA,46,30,0.0,0.0,0.0,84.84001994623,3.375
California,42,21,0.0,0.0,0.0,90.92251565315817,4.0
UNLV,42,27,0.0,0.0,0.0,88.34406999763445,3.6
Baylor,41,24,0.0,0.0,0.0,90.08259130844274,3.875
Cincinnati,41,27,1893437.0,1893437.0,1893437.0,85.89444209690866,3.625
Wichita State,40,17,0.0,0.0,0.0,96.12488332105134,
San Diego State,39,25,0.0,0.0,0.0,86.57932760532475,3.1818181818181817
Toledo,38,20,0.0,0.0,0.0,87.55631252453168,3.7142857142857144
St. John's,36,11,0.0,0.0,0.0,97.07865432113438,4.423076923076923
Creighton,35,23,0.0,0.0,0.0,89.1926845369688,3.3333333333333335
Georgia Tech,35,25,0.0,0.0,0.0,88.32323099343327,3.4545454545454546
Northwestern,34,23,0.0,0.0,0.0,89.63852771483921,3.4
Colorado State,34,24,0.0,0.0,0.0,83.22426898737879,
Boise State,32,16,0.0,0.0,0.0,87.51312583895948,3.4
Sacramento State,30,7,0.0,0.0,0.0,93.40497955101927,4.0
Temple,30,17,0.0,0.0,0.0,89.83040727970507,3.25
East Carolina,29,23,0.0,0.0,0.0,84.7541158185112,3.4285714285714284
Dayton,28,14,0.0,0.0,0.0,87.45368294285647,3.0
Rutgers,25,19,0.0,0.0,0.0,87.87246547389748,3.5555555555555554
Montana State,25,20,0.0,0.0,0.0,84.36287878787878,
Georgia Southern,25,14,0.0,0.0,0.0,84.4010643115942,3.0
Boston College,25,14,0.0,0.0,0.0,86.04293877658307,3.2222222222222223
Utah State,24,21,0.0,0.0,0.0,84.1893693145023,3.0
Tulane,24,17,0.0,0.0,0.0,87.00362314938674,3.6363636363636362
Western Kentucky,23,12,0.0,0.0,0.0,83.32098920101637,3.0
Gonzaga University,23,13,0.0,0.0,0.0,93.56953624575084,3.875
Rice,22,11,0.0,0.0,0.0,91.05955799226486,
Charlotte,21,8,0.0,0.0,0.0,88.65099637681159,3.0
New Mexico,21,16,0.0,0.0,0.0,87.36980939609045,3.5
Wake Forest,19,12,0.0,0.0,0.0,85.1605415161432,3.6666666666666665
Florida Atlantic,19,16,0.0,0.0,0.0,89.92186591039355,3.6
East Tennessee State,19,4,0.0,0.0,0.0,90.36445249597423,
Marshall,18,11,0.0,0.0,0.0,86.60482131093545,3.0
Austin Peay,17,10,0.0,0.0,0.0,84.31321864894,3.2222222222222223
Western Michigan,17,11,0.0,0.0,0.0,87.4023652072565,4.0
Liberty,17,10,0.0,0.0,0.0,84.66291701957462,3.1666666666666665
Texas State,16,13,0.0,0.0,0.0,85.98073122529644,3.0
Tulsa,16,10,0.0,0.0,0.0,86.41412796442687,3.5555555555555554
FIU,15,13,0.0,0.0,0.0,82.97939423883099,3.0
Georgetown,14,9,0.0,0.0,0.0,94.49658931981521,4.0
Appalachian State,14,11,0.0,0.0,0.0,86.66787620105468,3.142857142857143
Wyoming,14,8,0.0,0.0,0.0,84.88485210803688,3.0
North Texas,14,11,0.0,0.0,0.0,87.4291736450727,3.0
Villanova,13,10,0.0,0.0,0.0,84.95657763616266,3.0
George Mason,13,11,0.0,0.0,0.0,89.95700442151806,3.0
Hawaii,13,9,0.0,0.0,0.0,87.77241743149996,
Jackson State,13,10,0.0,0.0,0.0,84.25661710017425,3.0
Louisiana,12,7,0.0,0.0,0.0,93.12357234689108,3.7777777777777777
Youngstown State,12,10,0.0,0.0,0.0,86.125,4.0
Providence,12,8,0.0,0.0,0.0,87.70153486551216,3.0
South Alabama,12,11,0.0,0.0,0.0,88.16426154906257,3.0
Princeton,11,4,0.0,0.0,0.0,,
Buffalo,11,6,0.0,0.0,0.0,85.5450143729788,3.0
Saint Louis,11,5,0.0,0.0,0.0,86.13165760869565,3.5
Delaware,11,8,0.0,0.0,0.0,82.67291152009223,3.0
Grand Canyon University,11,7,0.0,0.0,0.0,96.68250350631136,4.0
Montana,10,8,0.0,0.0,0.0,82.6508152173913,4.0
Nevada,10,10,0.0,0.0,0.0,87.58186429512517,4.0
Central Oklahoma,10,1,0.0,0.0,0.0,,
Duquesne,10,8,0.0,0.0,0.0,93.34900515843772,
Florida A&M,10,5,0.0,0.0,0.0,87.95998199695057,4.0
Akron,10,8,0.0,0.0,0.0,88.49016041374475,3.1666666666666665
