team_name_clean,matched_school_clean,match_score,unitid,iped_school_original
utah state,utah state,100.0,230728,Utah State University
loyola marymount,loyola marymount,100.0,117946,Loyola Marymount University
savannah state,savannah state,100.0,140960,Savannah State University
of california santa barbara,of california santa barbara,100.0,110705,University of California-Santa Barbara
duquesne,duquesne,100.0,212106,Duquesne University
of texas at arlington,of texas at arlington,100.0,228769,The University of Texas at Arlington
connecticut,connecticut,100.0,128902,Connecticut College
east carolina,east carolina,100.0,198464,East Carolina University
ashland,ashland,100.0,201104,Ashland University
saint joseph s,saint joseph s,100.0,215770,Saint Joseph's University
montana state,montana state,100.0,180461,Montana State University
northern illinois,northern illinois,100.0,147703,Northern Illinois University
sam houston state,sam houston state,100.0,227881,Sam Houston State University
holy cross,holy cross,100.0,150774,Holy Cross College
southeastern louisiana,southeastern louisiana,100.0,160612,Southeastern Louisiana University
st bonaventure,st bonaventure,100.0,195164,St Bonaventure University
liberty,liberty,100.0,232557,Liberty University
towson,towson,100.0,164076,Towson University
belmont,belmont,100.0,201283,Belmont College
florida atlantic,florida atlantic,100.0,133669,Florida Atlantic University
bradley,bradley,100.0,143358,Bradley University
murray state,murray state,100.0,157401,Murray State University
san jose state,san jose state,100.0,122755,San Jose State University
jacksonville state,jacksonville state,100.0,101480,Jacksonville State University
mcneese state,mcneese state,100.0,159717,McNeese State University
southwest minnesota state,southwest minnesota state,100.0,175078,Southwest Minnesota State University
seattle,seattle,100.0,236595,Seattle University
temple,temple,100.0,216339,Temple University
oral roberts,oral roberts,100.0,207582,Oral Roberts University
georgia state,georgia state,100.0,139861,Georgia College & State University
drexel,drexel,100.0,212054,Drexel University
western carolina,western carolina,100.0,200004,Western Carolina University
st thomas,st thomas,100.0,137476,St. Thomas University
appalachian state,appalachian state,100.0,197869,Appalachian State University
california state fullerton,california state fullerton,100.0,110565,California State University-Fullerton
rhode island,rhode island,100.0,217420,Rhode Island College
wichita state,wichita state,100.0,156125,Wichita State University
alabama a m,alabama a m,100.0,100654,Alabama A & M University
texas southern,texas southern,100.0,229063,Texas Southern University
boston,boston,100.0,164924,Boston College
grand canyon,grand canyon,100.0,104717,Grand Canyon University
coastal carolina,coastal carolina,100.0,218724,Coastal Carolina University
rice,rice,100.0,227757,Rice University
youngstown state,youngstown state,100.0,206695,Youngstown State University
of san francisco,of san francisco,100.0,122612,University of San Francisco
yale,yale,100.0,130794,Yale University
fairfield,fairfield,100.0,129242,Fairfield University
norfolk state,norfolk state,100.0,232937,Norfolk State University
santa clara,santa clara,100.0,122931,Santa Clara University
california baptist,california baptist,100.0,110361,California Baptist University
jackson state,jackson state,100.0,175856,Jackson State University
providence,providence,100.0,217402,Providence College
james madison,james madison,100.0,232423,James Madison University
high point,high point,100.0,198695,High Point University
old dominion,old dominion,100.0,232982,Old Dominion University
furman,furman,100.0,218070,Furman University
illinois state,illinois state,100.0,145813,Illinois State University
bryant,bryant,100.0,217165,Bryant University
of charleston,of charleston,100.0,217819,College of Charleston
fordham,fordham,100.0,191241,Fordham University
louisiana tech,louisiana tech,100.0,159647,Louisiana Tech University
campbell,campbell,100.0,198136,Campbell University
ball state,ball state,100.0,150136,Ball State University
north florida,north florida,100.0,136145,North Florida College
samford,samford,100.0,102049,Samford University
saint mary s of california,saint mary s of california,100.0,123554,Saint Mary's College of California
abilene christian,abilene christian,100.0,222178,Abilene Christian University
centre,centre,100.0,156408,Centre College
tennessee state,tennessee state,100.0,221838,Tennessee State University
drake,drake,100.0,153269,Drake University
brown,brown,100.0,217156,Brown University
hampton,hampton,100.0,232265,Hampton University
indiana state,indiana state,100.0,151324,Indiana State University
morgan state,morgan state,100.0,163453,Morgan State University
princeton,princeton,100.0,186131,Princeton University
nicholls state,nicholls state,100.0,159966,Nicholls State University
garden city community,garden city community,100.0,155104,Garden City Community College
oakland,oakland,100.0,171571,Oakland University
central oklahoma,central oklahoma,100.0,206932,Central Oklahoma College
grambling state,grambling state,100.0,159009,Grambling State University
gardner webb,gardner webb,100.0,198561,Gardner-Webb University
eastern washington,eastern washington,100.0,235097,Eastern Washington University
stony brook,stony brook,100.0,196097,Stony Brook University
shenandoah,shenandoah,100.0,233541,Shenandoah University
eastern illinois,eastern illinois,100.0,144892,Eastern Illinois University
central michigan,central michigan,100.0,169248,Central Michigan University
marshall,marshall,100.0,237525,Marshall University
monmouth,monmouth,100.0,147341,Monmouth College
hofstra,hofstra,100.0,191649,Hofstra University
quinnipiac,quinnipiac,100.0,130226,Quinnipiac University
seton hall,seton hall,100.0,186584,Seton Hall University
arkansas state,arkansas state,100.0,106458,Arkansas State University
marquette,marquette,100.0,239105,Marquette University
southern connecticut state,southern connecticut state,100.0,130493,Southern Connecticut State University
stetson,stetson,100.0,137546,Stetson University
george washington,george washington,100.0,131469,George Washington University
william mary,william mary,100.0,231624,William & Mary
texas state,texas state,100.0,228459,Texas State University
point park,point park,100.0,215442,Point Park University
villanova,villanova,100.0,216597,Villanova University
georgetown,georgetown,100.0,131496,Georgetown University
colgate,colgate,100.0,190099,Colgate University
saint louis,saint louis,100.0,179159,Saint Louis University
creighton,creighton,100.0,181002,Creighton University
northwestern,northwestern,100.0,147767,Northwestern University
michigan state,michigan state,100.0,171100,Michigan State University
kansas state,kansas state,100.0,155399,Kansas State University
florida gulf coast,florida gulf coast,100.0,433660,Florida Gulf Coast University
siena,siena,100.0,195474,Siena College
illinois,illinois,100.0,145691,Illinois College
bethune cookman,bethune cookman,100.0,132602,Bethune-Cookman University
western kentucky,western kentucky,100.0,157951,Western Kentucky University
boise state,boise state,100.0,142115,Boise State University
kennesaw state,kennesaw state,100.0,486840,Kennesaw State University
washington,washington,100.0,164216,Washington College
eastern michigan,eastern michigan,100.0,169798,Eastern Michigan University
western michigan,western michigan,100.0,172699,Western Michigan University
butler,butler,100.0,150163,Butler University
carson newman,carson newman,100.0,219806,Carson-Newman University
west virginia,west virginia,100.0,238032,West Virginia University
st john s,st john s,100.0,163976,St. John's College
iowa state,iowa state,100.0,153603,Iowa State University
weber state,weber state,100.0,230782,Weber State University
florida,florida,100.0,133809,Florida College
syracuse,syracuse,100.0,196413,Syracuse University
duke,duke,100.0,198419,Duke University
texas tech,texas tech,100.0,229115,Texas Tech University
