coverage_bucket,urban_centric_locale,institutions,total_athletics_revenue
High,11,242,848474937.0
High,12,187,816199826.0
High,13,205,1506710677.0
High,21,526,1261833445.0
High,22,44,204758633.0
High,23,35,67999192.0
High,31,43,172519817.0
High,32,132,445752209.0
High,33,87,461270975.0
High,41,109,56540613.0
High,42,33,51631008.0
High,43,19,32525230.0
Low,11,100,198696873.0
Low,12,58,508909032.0
Low,13,83,383607283.0
Low,21,52,37259221.0
Low,22,28,25946732.0
Low,23,10,28377210.0
Low,31,8,23635230.0
Low,32,29,36563811.0
Low,33,54,142101385.0
Low,41,44,22689102.0
Low,42,9,4988766.0
Low,43,9,929785.0
Medium,11,1074,3969955490.0
Medium,12,460,2478518852.0
Medium,13,483,2080700672.0
Medium,21,922,1301260832.0
Medium,22,109,226369425.0
Medium,23,79,329133935.0
Medium,31,77,175845115.0
Medium,32,265,859041771.0
Medium,33,176,486623678.0
Medium,41,203,105525666.0
Medium,42,69,64176679.0
Medium,43,29,30747526.0
Unknown,-1,3,0.0
Unknown,11,55,117191643.0
Unknown,12,30,2525709.0
Unknown,13,27,4086173.0
Unknown,21,33,1246429.0
Unknown,22,2,0.0
Unknown,23,7,0.0
Unknown,33,6,852229.0
Unknown,41,1,75145.0
