area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,National,99,National,9754823.549152500,0.044303672,0.030435693,0.694594246,0.458888468,0.498238054,0.263328714,0.386171101,0.179066167
Total,State,01,Alabama,137027.365247500,0.000000000,0.000000000,0.944803725,0.634105694,0.638194393,0.319963902,0.472573282,0.236973087
Total,State,02,Alaska,1846753.432160000,0.073956367,0.048265381,0.082764983,0.034032701,0.017790622,0.006395341,0.008756541,0.003201577
Total,State,04,Arizona,257307.810987500,0.032191550,0.021776107,0.726136445,0.383537845,0.409707653,0.186350583,0.324239044,0.126108608
Total,State,05,Arkansas,131093.353527500,0.000000000,0.000000000,0.913443792,0.527463769,0.662200589,0.323019171,0.486016422,0.231966620
Total,State,06,California,397513.584422500,0.000000000,0.000000000,0.720036578,0.474498615,0.563453707,0.324350213,0.472620183,0.219866329
Total,State,08,Colorado,247128.899517500,0.342799079,0.254659171,0.761262461,0.477779402,0.459923987,0.175683100,0.341641452,0.117966276
Total,State,09,Connecticut,14073.896655000,0.000000000,0.000000000,0.878081638,0.638615714,0.889712156,0.650994656,0.746942686,0.450753664
Total,State,10,Delaware,6623.834262500,0.000000000,0.000000000,0.999443428,0.813914288,0.914780949,0.644366701,0.804961438,0.502981633
Total,State,11,District of Columbia,182.225225000,0.000000000,0.000000000,1.000000000,0.991329480,0.998265896,0.993641618,0.994219653,0.973988439
Total,State,12,Florida,198855.120100000,0.000000000,0.000000000,0.925330000,0.611125177,0.748681060,0.479554845,0.568350213,0.359465644
Total,State,13,Georgia,164549.378175000,0.000000000,0.000000000,0.969805849,0.602620040,0.705918614,0.333854397,0.525146109,0.247459656
Total,State,15,Hawaii,24733.545655000,0.000000000,0.000000000,0.757063037,0.426516307,0.453524918,0.216290340,0.345286056,0.133969866
Total,State,16,Idaho,218603.067865000,0.008854841,0.005199093,0.554607341,0.347461792,0.399209391,0.181338485,0.320817284,0.117946170
Total,State,17,Illinois,152711.163832500,0.000000000,0.000000000,0.974903452,0.817572205,0.867858416,0.586826744,0.745563702,0.429948662
Total,State,18,Indiana,96508.269812500,0.000000000,0.000000000,0.987413572,0.775174220,0.861924746,0.537352724,0.721259516,0.413077574
Total,State,19,Iowa,146531.200725000,0.000000000,0.000000000,0.984905796,0.801201182,0.893596573,0.611850798,0.679867446,0.267443014
Total,State,20,Kansas,199982.704512500,0.086533919,0.060047878,0.985465491,0.796429446,0.812998628,0.412518270,0.611837763,0.205103274
Total,State,21,Kentucky,110364.233525000,0.000000000,0.000000000,0.888887828,0.610958512,0.644416236,0.352354047,0.488230241,0.244672972
Total,State,22,Louisiana,126615.563620000,0.000000000,0.000000000,0.950427434,0.671342267,0.744610900,0.436153557,0.558543030,0.301121578
Total,State,23,Maine,85237.165650000,0.000000000,0.000000000,0.602969526,0.313136106,0.418206421,0.224983317,0.232012308,0.084483824
Total,State,24,Maryland,33044.174572500,0.000000000,0.000000000,0.977967123,0.724314899,0.858169728,0.626301747,0.737584990,0.496214693
Total,State,25,Massachusetts,26577.075070000,0.000000000,0.000000000,0.985102015,0.789446567,0.833403351,0.649566417,0.721147291,0.464532570
Total,State,26,Michigan,235196.623252500,0.000000000,0.000000000,0.743451668,0.393533602,0.463324999,0.258468707,0.367547630,0.208046766
Total,State,27,Minnesota,214233.559767500,0.000000000,0.000000000,0.946159039,0.710303317,0.769486287,0.384883270,0.626235386,0.290903736
Total,State,28,Mississippi,121516.206630000,0.000000000,0.000000000,0.957302253,0.699343125,0.720668594,0.371547028,0.468862145,0.216103061
Total,State,29,Missouri,178012.240997500,0.000000000,0.000000000,0.945040334,0.620775229,0.697679235,0.387690436,0.499592013,0.241391879
Total,State,30,Montana,394488.645687500,0.003869512,0.001874946,0.647834614,0.335670830,0.389923034,0.139018871,0.290358127,0.086786866
Total,State,31,Nebraska,194523.110372500,0.409595652,0.303499710,0.915201437,0.564404119,0.612295201,0.250338296,0.410453916,0.113113123
Total,State,32,Nevada,269469.290772500,0.000000000,0.000000000,0.626224410,0.346147968,0.378087483,0.139156767,0.281079463,0.087053649
Total,State,33,New Hampshire,22947.633117500,0.000000000,0.000000000,0.873551242,0.557824097,0.536608540,0.237690433,0.363606736,0.131539207
Total,State,34,New Jersey,22706.632357500,0.000000000,0.000000000,0.996117289,0.861553734,0.918495530,0.726878847,0.837482778,0.604445867
Total,State,35,New Mexico,274130.780560000,0.001147346,0.000679724,0.804323335,0.480287628,0.531372573,0.193473423,0.406420219,0.125610176
Total,State,36,New York,135054.171525000,0.000000000,0.000000000,0.884128470,0.579636086,0.675819119,0.420790535,0.542320441,0.324371183
Total,State,37,North Carolina,154752.929012500,0.000000000,0.000000000,0.946889602,0.646314113,0.698468198,0.438736442,0.505971678,0.280711415
