year,unitid,inst_name,address,state_abbr,zip,phone_number,city,county_name,offering_highest_level,region,inst_control,institution_level,sector,fips,chief_admin_name,chief_admin_title,hbcu,primarily_postsecondary,hospital,medical_degree,tribal_college,ein,urban_centric_locale,opeid,offering_highest_degree,currently_active_ipeds,date_closed,duns,title_iv_indicator,offering_undergrad,offering_grad,inst_status,newid,year_deleted,url_school,degree_granting,open_public,postsec_public_active,postsec_public_active_title_iv,inst_system_flag,inst_system_name,reporting_method,inst_category,land_grant,inst_size,inst_alias,url_fin_aid,url_application,cbsa,cbsa_type,csa,necta,comparison_group,longitude,latitude,county_fips,congress_district_id,cc_basic_2010,cc_instruc_undergrad_2010,cc_instruc_grad_2010,cc_undergrad_2010,cc_enroll_2010,cc_size_setting_2010,cc_basic_2000,url_netprice,comparison_group_custom,url_veterans,url_athletes,cc_basic_2015,cc_instruc_undergrad_2015,cc_instruc_grad_2015,cc_undergrad_2015,cc_enroll_2015,cc_basic_2018,cc_instruc_undergrad_2018,cc_instruc_grad_2018,cc_undergrad_2018,cc_enroll_2018,cc_size_setting_2018,cc_basic_2021,cc_instruc_undergrad_2021,cc_instruc_grad_2021,cc_undergrad_2021,cc_enroll_2021,cc_size_setting_2021,cc_size_setting_2015,url_disability_services,ueis
2022,100654,Alabama A & M University,4900 Meridian Street,AL,35762,2563725000,Normal,Madison County,9,5,1,4,1,1,Dr. Daniel K. Wims,President,1,1,0,0,0,636001109,12,00100200,12,1,-2,,1,1,1,1,-2,-2,www.aamu.edu/,1,1,1,1,0,-2,1,2,1,3,AAMU,https://www.aamu.edu/admissions-aid/financial-aid/,https://www.aamu.edu/admissions-aid/undergraduate-admissions/apply-today.html,26620,1,290,,107,-86.568502,34.783368,1089,105,18,-1,-1,-1,-1,-1,16,www.aamu.edu/admissions-aid/tuition-fees/net-price-calculator.html,1, , ,18,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,18,16,18,10,4,14,-1,https://www.aamu.edu/administrativeoffices/VADS/Pages/Disability-Services.aspx,JDVGS67MSLH7
2022,100663,University of Alabama at Birmingham,Administration Bldg Suite 1070,AL,35294-0110,2059344011,Birmingham,Jefferson County,9,5,1,4,1,1,Ray L. Watts,President,0,1,1,1,0,636005396,12,00105200,11,1,-2,,1,1,1,1,-2,-2,https://www.uab.edu/,1,1,1,1,1,The University of Alabama System,1,2,0,5,UAB,https://www.uab.edu/cost-aid/,https://www.uab.edu/admissions/apply,13820,1,142,,92,-86.799345,33.505697,1073,107,15,-1,-1,-1,-1,-1,15,https://tcc.ruffalonl.com/University of Alabama at Birmingham/Freshman-Students,1,https://www.uab.edu/students/veterans,https://www.uab.edu/registrar/students,15,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,15,14,14,9,5,15,-1,https://www.uab.edu/students/disability/,YND4PLMC9AN7
2022,100690,Amridge University,1200 Taylor Rd,AL,36117-3553,33438738777550,Montgomery,Montgomery County,9,5,2,4,2,1,Michael C.Turner,President,0,1,0,0,0,237034324,12,02503400,12,1,-2,,1,1,1,1,-2,-2,https://www.amridgeuniversity.edu/,1,1,1,1,0,-2,1,2,0,1,Southern Christian University  Regions University,https://www.amridgeuniversity.edu/financialaid/,https://www.amridgeuniversity.edu/myamridge/,33860,1,388,,125,-86.17401,32.362609,1101,102,21,-1,-1,-1,-1,-1,51,https://www2.amridgeuniversity.edu:9091/,0,https://www.amridgeuniversity.edu/admissions/military/, ,20,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,20,20,18,5,6,6,-1,https://www.amridgeuniversity.edu/studentservices/,RB27R4GLDKE7
2022,100706,University of Alabama in Huntsville,301 Sparkman Dr,AL,35899,2568246120,Huntsville,Madison County,9,5,1,4,1,1,Chuck Karr,President,0,1,0,0,0,630520830,12,00105500,11,1,-2,,1,1,1,1,-2,-2,www.uah.edu/,1,1,1,1,1,The University of Alabama System,1,2,0,3,UAH  University of Alabama Huntsville,finaid.uah.edu/,register.uah.edu/,26620,1,290,,92,-86.640449,34.724557,1089,105,15,-1,-1,-1,-1,-1,16,finaid.uah.edu/,0,www.uah.edu/admissions/graduate/financial-aid/veterans,www.uah.edu/heoa,16,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,15,17,17,15,4,13,-1,www.uah.edu/health-and-wellness/disability-support,HB6KNGVNJRU1
2022,100724,Alabama State University,915 S Jackson Street,AL,36104-0271,3342294100,Montgomery,Montgomery County,9,5,1,4,1,1,Quinton T. Ross,President,1,1,0,0,0,636001101,12,00100500,11,1,-2,,1,1,1,1,-2,-2,www.alasu.edu/,1,1,1,1,0,-2,1,2,0,2, ,www.alasu.edu/undergraduate/expensesandfinancialaid/expenses-and-financial-aid,www.alasu.edu/admissions/undergrad-admissions/index.aspx,33860,1,388,,98,-86.295677,32.364317,1101,107,18,-1,-1,-1,-1,-1,21,www.alasu.edu/cost-aid/tuition-costs/net-price-calculator,1, ,https://www.alasu.edu/administration/consumer-information,19,-1,-1,-1,-1,19,-1,-1,-1,-1,-1,17,13,18,10,3,14,-1,www.alasu.edu/academics/researchcenters/alabama-alliance-students-disabilities,DLJWLMSNK627
2022,100733,University of Alabama System Office,500 University Blvd. East,AL,35401,2053485122,Tuscaloosa,Tuscaloosa County,9,5,1,4,0,1,Finis St. John IV,Chancellor,0,1,-2,-2,0,636001138,13,00800400,11,1,-2,,2,1,1,1,-2,-2,www.uasystem.edu/,1,1,1,1,1,The University of Alabama System,-2,-2,0,-2, , , ,46220,1,-2,,-2,-87.529594,33.207015,1125,107,-2,-1,-1,-1,-1,-1,-2, ,-2, , ,-2,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,www.uasystem.edu/, 
2022,100751,The University of Alabama,739 University Blvd,AL,35487-0100,2053486010,Tuscaloosa,Tuscaloosa County,9,5,1,4,1,1,Dr. Stuart R. Bell,President,0,1,0,0,0,636001138,13,00105100,11,1,-2,,1,1,1,1,-2,-2,www.ua.edu/,1,1,1,1,1,The University of Alabama System,1,2,0,5, ,financialaid.ua.edu/,apply.ua.edu/,46220,1,-2,,91,-87.545978,33.211875,1125,107,16,-1,-1,-1,-1,-1,15,financialaid.ua.edu/net-price-calculator/,1,https://vets.sa.ua.edu/,registrar.ua.edu/academics-policies/student-right-to-know/,16,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,15,17,15,12,4,16,-1,ods.ua.edu/,RCNJEHZ83EV6
2022,100760,Central Alabama Community College,1675 Cherokee Rd,AL,35010,2562346346,Alexander City,Tallapoosa County,3,5,1,2,4,1,Jeff Lynn,President,0,1,-2,0,0,631022757,32,00100700,40,1,-2,,1,1,0,1,-2,-2,www.cacc.edu/,1,1,1,1,1,Alabama Community College System,1,4,0,2, ,https://www.cacc.edu/financial-aid/,https://www.cacc.edu/admissions/apply/,10760,2,388,,73,-85.945266,32.92478,1123,103,2,-1,-1,-1,-1,-1,40,https://www.cacc.edu/net-price-calculator/,0,https://www.cacc.edu/financial-aid/veterans/,https://www.cacc.edu/about/consumer-information/,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,5,2,0,1,1,2,-1,https://www.cacc.edu/services/other-services/disability-services/,G1C3X4MHV2N1
2022,100812,Athens State University,300 N Beaty St,AL,35611,2562338100,Athens,Limestone County,7,5,1,4,1,1,Dr. Catherine Wehlburg,Interim President,0,1,0,0,0,630701340,31,00100800,20,1,-2,,1,1,1,1,-2,-2,www.athens.edu/,1,1,1,1,0,-2,1,2,0,2, ,www.athens.edu/financial-aid/,www.athens.edu/apply,26620,1,290,,134,-86.964698,34.806793,1083,105,22,-1,-1,-1,-1,-1,32, ,1, , ,22,-1,-1,-1,-1,22,-1,-1,-1,-1,-1,22,16,6,5,3,9,-1,www.athens.edu/digital-communications/accessibility/,GFZJMKWMF9K7
2022,100830,Auburn University at Montgomery,7440 East Drive,AL,36117-3596,3342443000,Montgomery,Montgomery County,9,5,1,4,1,1,Carl A. Stockton,Chancellor,0,1,0,0,0,636000724,12,00831000,11,1,-2,,1,1,1,1,-2,-2,www.aum.edu/,1,1,1,1,1,Auburn University,1,2,0,3,AUM||Auburn University at Montgomery|Auburn Montgomery,www.aum.edu/admissions/scholarships-and-financial-aid/financial-aid,www.aum.edu/apply#apply-now-back-btn-row,33860,1,388,,107,-86.177544,32.36736,1101,102,18,-1,-1,-1,-1,-1,21,www.aum.edu/current-students/financial-information/net-price-calculator,1,www.aum.edu/admissions/financial-affairs/financial-aid/veteran-services,www.aum.edu/academics/institutional-effectiveness/consumer-information,18,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,18,16,4,7,4,13,-1,www.aum.edu/campus-life/student-affairs/center-for-disability-services,S2Y7SMVZ1R96
