team_committed,n_deals,n_unique_athletes,total_nil_value,avg_nil_value,median_nil_value
Abilene Christian,7,3,25000.0,25000.0,25000.0
Akron,10,8,0.0,0.0,0.0
Alabama,120,39,0.0,0.0,0.0
Alabama A&M,8,1,0.0,0.0,0.0
Albany,2,2,0.0,0.0,0.0
Amherst College,1,1,0.0,0.0,0.0
Appalachian State,14,11,0.0,0.0,0.0
Arizona,71,34,25000.0,25000.0,25000.0
Arizona State,70,45,25000.0,25000.0,25000.0
Arkansas,167,91,10000.0,10000.0,10000.0
Arkansas State,8,6,1500.0,1500.0,1500.0
Arkansas-Pine Bluff,1,1,0.0,0.0,0.0
Army,1,1,0.0,0.0,0.0
Ashland University,1,1,0.0,0.0,0.0
Auburn,96,35,25000.0,25000.0,25000.0
Austin Peay,17,10,0.0,0.0,0.0
BYU,74,37,0.0,0.0,0.0
Ball State,9,6,0.0,0.0,0.0
Baylor,41,24,0.0,0.0,0.0
Belmont University,2,1,0.0,0.0,0.0
Bethune-Cookman,3,1,0.0,0.0,0.0
Boise State,32,16,25000.0,25000.0,25000.0
Boston College,25,14,0.0,0.0,0.0
Bowling Green,8,5,0.0,0.0,0.0
Bradley,9,5,0.0,0.0,0.0
Brown,2,2,0.0,0.0,0.0
Bryant University,7,3,0.0,0.0,0.0
Bucknell,1,1,0.0,0.0,0.0
Buffalo,11,6,0.0,0.0,0.0
Butler,7,4,0.0,0.0,0.0
Cal Lutheran University,1,1,0.0,0.0,0.0
Cal Poly,2,2,0.0,0.0,0.0
California,42,21,0.0,0.0,0.0
California Baptist University,1,1,0.0,0.0,0.0
California State University-Fullerton,1,1,0.0,0.0,0.0
"California, Pa.",1,1,0.0,0.0,0.0
Campbell,2,2,0.0,0.0,0.0
Carson Newman College,1,1,0.0,0.0,0.0
Central Michigan,6,2,0.0,0.0,0.0
Central Oklahoma,10,1,0.0,0.0,0.0
Centre College,1,1,0.0,0.0,0.0
Charlotte,21,8,0.0,0.0,0.0
Chattanooga,1,1,0.0,0.0,0.0
Cincinnati,41,27,0.0,0.0,0.0
Clemson,87,35,0.0,0.0,0.0
Coastal Carolina,8,6,0.0,0.0,0.0
Colgate,4,1,0.0,0.0,0.0
College of Charleston,1,1,0.0,0.0,0.0
Colorado,71,45,0.0,0.0,0.0
Colorado State,34,24,0.0,0.0,0.0
Concordia University Nebraska,1,1,0.0,0.0,0.0
Connecticut,110,36,0.0,0.0,0.0
Cornell,2,2,0.0,0.0,0.0
Creighton,35,23,0.0,0.0,0.0
Davidson,1,1,0.0,0.0,0.0
Dayton,28,14,0.0,0.0,0.0
DePaul,7,4,0.0,0.0,0.0
Delaware,11,8,0.0,0.0,0.0
Drake,2,2,0.0,0.0,0.0
Drexel,2,1,0.0,0.0,0.0
Duke,54,22,0.0,0.0,0.0
Duquesne,10,8,0.0,0.0,0.0
East Carolina,29,23,0.0,0.0,0.0
East Tennessee State,19,4,0.0,0.0,0.0
East Texas A&M Commerce,1,1,0.0,0.0,0.0
Eastern Illinois,3,2,0.0,0.0,0.0
Eastern Michigan,9,7,0.0,0.0,0.0
Eastern Washington,2,1,0.0,0.0,0.0
Evansville,2,1,0.0,0.0,0.0
FIU,15,13,80.0,80.0,80.0
Fairfield University,1,1,0.0,0.0,0.0
Florida,402,115,0.0,0.0,0.0
Florida A&M,10,5,0.0,0.0,0.0
Florida Atlantic,19,16,0.0,0.0,0.0
Florida Gulf Coast University,4,2,0.0,0.0,0.0
Florida State,161,76,0.0,0.0,0.0
Fordham,8,4,0.0,0.0,0.0
Fort Valley State,1,1,0.0,0.0,0.0
Fresno State,5,5,0.0,0.0,0.0
Furman,3,2,0.0,0.0,0.0
Garden City Community College,1,1,0.0,0.0,0.0
Gardner-Webb,2,1,0.0,0.0,0.0
George Mason,13,11,0.0,0.0,0.0
George Washington University,1,1,0.0,0.0,0.0
Georgetown,14,9,0.0,0.0,0.0
Georgia,104,64,0.0,0.0,0.0
Georgia Southern,25,14,0.0,0.0,0.0
Georgia State,9,5,0.0,0.0,0.0
Georgia Tech,35,25,0.0,0.0,0.0
Gonzaga University,23,13,0.0,0.0,0.0
Grambling State,1,1,0.0,0.0,0.0
